Pada, Artha1, Parva, Sandhi_no, Padya1
ಕುಂಟಣಿ, ತಲೆಹಿಡುಕಿ, ಭೀಷ್ಮ ಪರ್ವ,4,7
ಕುಂಟಣಿ, ತಲೆಹಿಡುಕಿ., ಸಭಾ ಪರ್ವ,12,42
ಕುಂಡಲಿತ, ಕಿವಿಯಾಭರಣ ಧರಿಸಿದ, ಭೀಷ್ಮ ಪರ್ವ,4,14
ಕುಂತ, ಬೆಣೆ, ಭೀಷ್ಮ ಪರ್ವ,5,36
ಕುಂತ, ಶೂಲ, ವಿರಾಟ ಪರ್ವ,3,58
ಕುಂತ, ಈಟಿ , ವಿರಾಟ ಪರ್ವ,6,38
ಕುಂತಾಗ್ರ, ಈಟಿಯ ತುದಿ, ಭೀಷ್ಮ ಪರ್ವ,4,47
ಕುಂತೀಸುತರು, ಪಾಂಡವರು, ಭೀಷ್ಮ ಪರ್ವ,7,23
ಕುಂದ, ಮೊಲ್ಲೆ, ಆದಿ ಪರ್ವ,9,12
ಕುಂದಿಸದೆ, ಕುಗ್ಗಿಸದೆ, ಉದ್ಯೋಗ ಪರ್ವ,3,24
ಕುಂದು, ಕುಗ್ಗು., ಉದ್ಯೋಗ ಪರ್ವ,4,106
ಕುಂದು, ತಪ್ಪು/ಕೊರತೆ, ಉದ್ಯೋಗ ಪರ್ವ,1,13
ಕುಂಭಸಂಭವ, ದ್ರೋಣ., ದ್ರೋಣ ಪರ್ವ,1,0
ಕುಂಭಸ್ಥಲ, ತಲೆಯ ಮೇಲ್ಭಾಗ, ಭೀಷ್ಮ ಪರ್ವ,4,90
ಕುಂಭಸ್ಥಳ, ಗಂಡ ಸ್ಥಳ, ಆದಿ ಪರ್ವ,13,18
ಕುಂಭಿ, ಆನೆಯಮಸ್ತಕ, ಭೀಷ್ಮ ಪರ್ವ,3,77
ಕುಂಭೀಪಾಕ, ಜೀವಹಿಂಸೆ ಮಾಡಿದವರು ಹೋಗುವ ನರಕ, ಅರಣ್ಯ ಪರ್ವ,15,13
ಕುಕಿಲ್, ಕೇಕೆ, ಭೀಷ್ಮ ಪರ್ವ,4,21
ಕುಕಿಲ, ಕೋಗಿಲೆ, ಆದಿ ಪರ್ವ,20,52
ಕುಕ್ಕುಟ, ಕೋಳಿ, ಉದ್ಯೋಗ ಪರ್ವ,4,69
ಕುಕ್ಕುರ, ನಾಯಿ, ಅರಣ್ಯ ಪರ್ವ,4,33
ಕುಕ್ಕುಳಿಸು, ತಳಮಳಗೊಳ್ಳು, ಕರ್ಣ ಪರ್ವ,26,39
ಕುಗ್ಗು, ಕ್ಷೀಣಿಸು, ಆದಿ ಪರ್ವ,14,6
ಕುಚಯುಗಕೆ, ವಕ್ಷಸ್ಥಳಕ್ಕೆ, ಭೀಷ್ಮ ಪರ್ವ,5,26
ಕುಜನರು, ಕೆಟ್ಟವರು, ಸಭಾ ಪರ್ವ,1,34
ಕುಟಜ, ಬೆಟ್ಟಮಲ್ಲಿಗೆ, ಆದಿ ಪರ್ವ,20,48
ಕುಟಿಲ, ಮೋಸಗಾರ, ಅರಣ್ಯ ಪರ್ವ,4,24
ಕುಟಿಲ ಭಣಿತೆ, ಸುಳ್ಳು ತಟವಟದ ಮಾತು, ಭೀಷ್ಮ ಪರ್ವ,9,32
ಕುಠಾರ, ನಾಶ ಮಾಡುವª., ಕರ್ಣ ಪರ್ವ,6,6
ಕುಠಾರ, ಕುಲನಾಶಕ (ಕೊಡಲಿ), ಗದಾ ಪರ್ವ,8,59
ಕುಠಾರ, ಕ್ರೂರ, ಭೀಷ್ಮ ಪರ್ವ,3,87
ಕುಠಾರ, ಕ್ರೂರಿ (ಕೀಚಕ), ವಿರಾಟ ಪರ್ವ,3,44
ಕುಠಾರ, ಕೊಡಲಿ, ಉದ್ಯೋಗ ಪರ್ವ,2,41
ಕುಠಾರ. ನುತಿಸು, ಬೇಡು, ವಿರಾಟ ಪರ್ವ,1,11
ಕುಠಾರಕ, ನಾಶ ಮಾಡುವವರು, ಭೀಷ್ಮ ಪರ್ವ,1,7
ಕುಠಾರಬುದ್ದಿ, ಕೊಡಲಿಯಂತಹ ದುಷ್ಟ ಬುದ್ಧಿ, ಸಭಾ ಪರ್ವ,12,14
ಕುಡಿತೆ, ಬೊಗಸೆ, ವಿರಾಟ ಪರ್ವ,3,9
ಕುಡಿತೆ, ಬೊಗಸೆ/ಕುಡಿಯುವಿಕೆ, ಉದ್ಯೋಗ ಪರ್ವ,8,14
ಕುಡಿತೆ, ಗುಟುಕು, ಕರ್ಣ ಪರ್ವ,13,10
ಕುಡಿತೆಗಣ್ಣು, ಬೊಗಸೆಗಣ್ಣು, ಆದಿ ಪರ್ವ,13,64
ಕುಡಿಮೇಳ, ಓರೆನೋಟಗಳ ಸಂಗಮ, ಆದಿ ಪರ್ವ,13,25
ಕುಡಿಮೊನೆ, ಹರಿತವಾದ ತುದಿ, ಶಲ್ಯ ಪರ್ವ,3,66
ಕುಡಿಮೊನೆ, ಚೂಪಾದಕತ್ತಿ ತುದಿ, ಭೀಷ್ಮ ಪರ್ವ,4,28
ಕುಡುಕುಗೊಂಡವು, ಗುಟುಕು ಗುಟುಕಾಗಿ ಕುಡಿದವು, ಭೀಷ್ಮ ಪರ್ವ,5,33
ಕುಡುಹು, ದೊಣ್ಣೆ, ದ್ರೋಣ ಪರ್ವ,1,47
ಕುಣಿಕೆ, ಬಿಗಿ, ಗದಾ ಪರ್ವ,8,41
ಕುಣಿಕೆಯೊಳಿಹುದು, ಅಧೀನದೊಳಗಿರುವುದು, ಭೀಷ್ಮ ಪರ್ವ,7,23
ಕುಣಿವ ತೊಡರು, ಸದ್ದು ಮಾಡುವ ಬಿರುದಿನ ಗೆಜ್ಜೆ, ಭೀಷ್ಮ ಪರ್ವ,4,40
ಕುತ್ತಿ, ಆಯುಧವನ್ನು ನಾಟಿಸಿ, ಗದಾ ಪರ್ವ,3,5
ಕುತ್ತಿ, ಚುಚ್ಚಿ, ವಿರಾಟ ಪರ್ವ,6,18
ಕುತ್ತಿದವು, ತುತ್ತುಗೊಂಡವು, ಭೀಷ್ಮ ಪರ್ವ,4,82
ಕುತ್ತು, ನಾಟಿಸು, ಗದಾ ಪರ್ವ,2,38
ಕುತ್ತು, ತಿವಿ, ಕರ್ಣ ಪರ್ವ,12,20
ಕುತ್ತು, ಚುಚ್ಚಿಕೊಳ್ಳುವುದು , ಶಲ್ಯ ಪರ್ವ,2,63
ಕುತ್ತುದಲೆ, ತಗ್ಗಿಸಿದ ತಲೆ, ಸಭಾ ಪರ್ವ,16,67
ಕುದಿದು, ಸಂಕಟಪಟ್ಟು, ಉದ್ಯೋಗ ಪರ್ವ,6,23
ಕುದುಕುಳಿಗಳು, ಮತ್ಸರಿಗಳು, ದ್ರೋಣ ಪರ್ವ,10,30
ಕುಧರ, ಪರ್ವತ, ಭೀಷ್ಮ ಪರ್ವ,4,20
ಕುನಿಕಿಲ ಬಂಡಿ, ಕೊಲ್ಲಾರದ ಬಂಡಿ (ಬಾಗಿದ ಕಮಾನಿನ ಬಂಡಿ) ಉಲೂಕÀ, ಭೀಷ್ಮ ಪರ್ವ,5,30
ಕುನಿಕಿಲಲಿ, ಚೀಲಗಳಲ್ಲಿ, ಆದಿ ಪರ್ವ,10,24
ಕುನ್ನಿ, ನಾಯಿ, ವಿರಾಟ ಪರ್ವ,3,100
ಕುನ್ನಿ, ಕ್ಷುದ್ರಜೀವಿ, ಭೀಷ್ಮ ಪರ್ವ,1,60
ಕುಬುದ್ಧಿ, ಕೆಟ್ಟಬುದ್ಧಿ, ಗದಾ ಪರ್ವ,8,40
ಕುಬ್ಜ, ಕುಳ್ಳ, ಉದ್ಯೋಗ ಪರ್ವ,3,107
ಕುಮಂತ್ರ, ದುರ್ಬೋಧನೆ, ಆದಿ ಪರ್ವ,19,44
ಕುಮಂತ್ರಿ, ಕುತಂತ್ರಿ, ಆದಿ ಪರ್ವ,8,72
ಕುಮತಿ, ಕೆಟ್ಟಬುದ್ಧಿ, ಸಭಾ ಪರ್ವ,10,50
ಕುಮತಿ, ಕೆಟ್ಟಬುದ್ಧಿಯವನು , ಗದಾ ಪರ್ವ,3,43
ಕುಮುದ, ನೈದಿಲೆ, ವಿರಾಟ ಪರ್ವ,2,51
ಕುಮುದಾಳಿ, ನೈದಿಲೆಯ  ಹೂಗಳ ಗುಂಪು, ದ್ರೋಣ ಪರ್ವ,1,43
ಕುಮುದಿನೀ ಪತಿ, ಚಂದ್ರ., ವಿರಾಟ ಪರ್ವ,2,56
ಕುಮ್ಮರಿ, ಮರ ಕಡಿದ ಕಾಡು.  (ಒರವು, ವಿರಾಟ ಪರ್ವ,7,38
ಕುಮ್ಮರಿ, ಕಾಡು ಕಡಿದು ಮಾಡಿದ (ಯುದ್ಧಭೂಮಿ) ಬಯಲು, ಕರ್ಣ ಪರ್ವ,11,23
ಕುಮ್ಮರಿಗಡಿ, ಚೂರು ಚೂರು ಕತ್ತರಿಸು, ಸಭಾ ಪರ್ವ,10,10
ಕುರಂಗ, ಹುಲ್ಲೆ, ಆದಿ ಪರ್ವ,20,51
ಕುರಿಗುಣಿ, ?, ಅರಣ್ಯ ಪರ್ವ,7,64
ಕುರಿದರಿ, ಕುರಿಯನ್ನು ಕತ್ತರಿಸುವಂತೆ ಕೊಚ್ಚು, ವಿರಾಟ ಪರ್ವ,3,102
ಕುರಿದರಿಯ ಕುಮ್ಮರಿಯ ಕಡಿತಕೆ, ಕುರಿಗಳನ್ನು ತರಿದು ತರಿದು ರಾಶಿ, ಸಭಾ ಪರ್ವ,3,20
ಕುರುಕುಲದಗ್ರಿಯನು, ಕುರುವಂಶದ ಶ್ರೇಷ್ಠನಾದ ಧರ್ಮರಾಯನನ್ನು., ವಿರಾಟ ಪರ್ವ,4,57
ಕುರುಕುಲವನ ದವಾನಳ, (ಕುರುವಂಶ ಎಂಬ ಕಾಡಿನ ಪಾಲಿಗೆ ದಾವಾಗ್ನಿಯಾದ) ಅರ್ಜುನ, ವಿರಾಟ ಪರ್ವ,7,30
ಕುರುಕುಲಾಗ್ರಣಿ, ಕೌರವ, ವಿರಾಟ ಪರ್ವ,4,56
ಕುರುಕುಲಾಗ್ರಣಿ, ಕೌರವಕುಲದ ವೀರ, ವಿರಾಟ ಪರ್ವ,3,5
ಕುರುಕುಲಾನ್ವಯ, ಕುರುವಂಶ, ಗದಾ ಪರ್ವ,11,64
ಕುರುಡು, ಅಜ್ಞಾನ, ಸಭಾ ಪರ್ವ,7,12
ಕುರುತಿಲಕ, ದುರ್ಯೋಧನ, ಗದಾ ಪರ್ವ,10,18
ಕುರುಧರಣಿಯಲಿ, ಕುರುಕ್ಷೇತ್ರದಲ್ಲಿ, ಗದಾ ಪರ್ವ,12,6
ಕುರುಧರೆ, ಕುರುಕ್ಷೇತ್ರ, ಭೀಷ್ಮ ಪರ್ವ,1,50
ಕುರುಧಾರುಣಿಯ ಪತಿ, ಕುರುಭೂಮಿಗೆ ಒಡೆಯ, ಗದಾ ಪರ್ವ,12,0
ಕುರುಮಹೀಪತಿ, ಕುರುವಂಶದ ರಾಜ, ಗದಾ ಪರ್ವ,11,43
ಕುರುರಾಜವಂಶಶಿರೋಮಣಿ, ಕುರುರಾಜಕುಲಕ್ಕೆ ಶಿರಸ್ಸಿನ ಆಭರಣದಂತಿರುವವನು (ಇಲ್ಲಿ, ಗದಾ ಪರ್ವ,11,38
ಕುರುರಾಯ, ದುರ್ಯೋಧನ, ಭೀಷ್ಮ ಪರ್ವ,1,15
ಕುರುವ, ಎತ್ತರಪ್ರದೇಶ, ಗದಾ ಪರ್ವ,13,3
ಕುರುಹು, ಗುರುತು, ಆದಿ ಪರ್ವ,20,6
ಕುರುಹುಗೊಂಡರೆ, ಸಾಕಾರನಾದರೆ, ಭೀಷ್ಮ ಪರ್ವ,7,16
ಕುರುಳ, ಕೂದಲನ್ನು, ಉದ್ಯೋಗ ಪರ್ವ,6,28
ಕುರುಳು, ತಲೆಕೂದಲು, ಆದಿ ಪರ್ವ,11,27
ಕುಲಕೊಲೆ, ವಂಶನಾಶ, ಭೀಷ್ಮ ಪರ್ವ,3,30
ಕುಲಗಿರಿ, ಮಂದರಪರ್ವತ, ಭೀಷ್ಮ ಪರ್ವ,3,18
ಕುಲಗಿರಿ, ಮಹೇಂದ್ರ, ಶಲ್ಯ ಪರ್ವ,1,2, , ,  ಶಕ್ತಿಮಾನ್  ಋಕ್ಷವಾನ್,   ವಿಂಧ್ಯ ಪಾರಿಯಾತ್ರ ಎಂಬ ಏಳು ಪರ್ವಗಳು, C9BAE7B6CBB8E5B8, , , , , , , , 
ಕುಲಗಿರಿ ವಜ್ರ, ಕುಲಪರ್ವತವನ್ನು ಛೇದಿಸುವ, ಸಭಾ ಪರ್ವ,2,102
ಕುಲಗಿರಿಯನೊಡೆ ಮೀಟಿ, ಕುಲಪರ್ವತಗಳನ್ನೇ ಬೇಕಾದರೂ ಮೀಟಿ ತೆಗೆದು, ಸಭಾ ಪರ್ವ,5,49
ಕುಲಛಲ, ವಂಶ ಪ್ರತಿಷ್ಠೆ, ಭೀಷ್ಮ ಪರ್ವ,3,42
ಕುಲಿಶ, ವಜ್ರಾಯುಧ (ಇಂದ್ರನದು), ವಿರಾಟ ಪರ್ವ,8,4
ಕುಶಿಕಾಸ್ತ್ರ, ದರ್ಭಾಸ್ತ್ರ , ಗದಾ ಪರ್ವ,10,24
ಕುಶೀಲವ, ಸ್ತುತಿಪಾಠಕರು, ಗದಾ ಪರ್ವ,9,41
ಕುಶೇಶಯ, ಕಮಲ/ವಿಷ್ಣು., ಉದ್ಯೋಗ ಪರ್ವ,7,0
ಕುಷ್ಠಿ, ಕುಷ್ಠರೋಗಿ, ಉದ್ಯೋಗ ಪರ್ವ,4,69
ಕುಸಿ, ಬಗ್ಗು, ಆದಿ ಪರ್ವ,14,10
ಕುಸುಬು, ಬಟ್ಟೆ ಕುಕ್ಕಿ ಹಾಕುವಂತೆ ಕುಕ್ಕು, ವಿರಾಟ ಪರ್ವ,3,16
ಕುಸುಮಶರ, ಮನ್ಮಥ (ಹೂ ಬಾಣವನ್ನು ಆಯುಧವಾಗಿ ಉಳ್ಳವನು) ಆಲಿಕಲು, ವಿರಾಟ ಪರ್ವ,3,75
ಕುಸುಮಶರ, ಹೂವಿನ ಬಾಣಗಳುಳ್ಳವನು, ಆದಿ ಪರ್ವ,14,2
ಕುಸುಮಾಯುಧ, ಪುಷ್ಪವನ್ನು ಆಯುಧವನ್ನಾಗಿ ಮಾಡಿಕೊಂಡವನು, ಆದಿ ಪರ್ವ,15,32
ಕುಸುರಿ, ತುಂಡು , ಕರ್ಣ ಪರ್ವ,19,20
ಕುಸುರಿಗಳ, ಸಣ್ಣ ಚೂರುಗಳ, ಭೀಷ್ಮ ಪರ್ವ,5,31
ಕುಸುರಿತರಿದನು, ಛಿದ್ರಛಿದ್ರಗೊಳಿಸಿದನು. ಅವನಿಗೆ ಹಸುಗೆ ಮಾಡಿದನು, ಭೀಷ್ಮ ಪರ್ವ,9,43
ಕುಸುರಿದನು, ಮುಷ್ಟಿಯಿಂದ ಗುದ್ದಿ ತಿವಿದನು, ಗದಾ ಪರ್ವ,9,29
ಕುಸುರಿದರಿ, ಸಣ್ಣಗೆ ಕೊಚ್ಚು, ಶಲ್ಯ ಪರ್ವ,2,49
ಕುಸುರಿದರಿ, ಕೊಚ್ಚಿ ಹಾಕು, ವಿರಾಟ ಪರ್ವ,3,68
ಕುಸುರಿದರಿ, ಕೊಚ್ಚು, ದ್ರೋಣ ಪರ್ವ,10,3
ಕುಹಕ, ಕಪಟ, ಆದಿ ಪರ್ವ,8,11
ಕುಹಕಿ, ವ್ಯಂಗ್ಯವಾಗಿ ಮಾತನಾಡುವವನು, ದ್ರೋಣ ಪರ್ವ,1,6
ಕುಹಕಿ, ಕೆಟ್ಟ ಬುದ್ದಿಯುಳ್ಳವ, ಗದಾ ಪರ್ವ,11,6
ಕುಹರ, ಬಿಲ, ಸಭಾ ಪರ್ವ,3,31
ಕುಳುವೆಳಗು, ಈಟಿ ಅಥವಾ ಕತ್ತಿಯ ಹೊಳಪು, ದ್ರೋಣ ಪರ್ವ,10,4
ಕುಳ್ಳಿತಿಹೆ, ಕುಳಿತಿಹೆ (ಛಂದಸ್ಸಿಗಾಗಿ ಈ ಬದಲಾವಣೆ), ವಿರಾಟ ಪರ್ವ,6,24
ಕುಳ್ಳಿರಿಯೆನಲು, ಕುಳಿತುಕೊಳ್ಳಿರಿ ಎನಲು, ಸಭಾ ಪರ್ವ,2,63
ಕುಳ್ಳಿರ್ದರು, ಕುಳಿತುಕೊಂಡರು, ಸಭಾ ಪರ್ವ,2,63
ಕೂಟ, ಸೇರಿಕೆ, ಆದಿ ಪರ್ವ,13,45
ಕೂಡೆ, ಕೂಡಲೇ , ಸಭಾ ಪರ್ವ,1,1
ಕೂಬರು, ಈಸು, ಗದಾ ಪರ್ವ,1,25, , , C9BBE0B6E5BA, , , , , , , , , , 
ಕೂರಂಕುಶ, ಚೂಪಾದ ಅಂಕುಶ, ಭೀಷ್ಮ ಪರ್ವ,4,77
ಕೂರಂಬು, ಚೂಪಾದ ಬಾಣ, ಕರ್ಣ ಪರ್ವ,10,10
ಕೂರಂಬುಗಳು, ಹರಿತವಾದ ಬಾಣಗಳು, ಆದಿ ಪರ್ವ,20,41
ಕೂರಲಗು, ಹರಿತವಾದ ಆಯುಧ, ವಿರಾಟ ಪರ್ವ,9,6
ಕೂರಲಗು, ಹರಿತವಾದ ಕತ್ತಿಯ ಅಂಚು, ವಿರಾಟ ಪರ್ವ,2,9
ಕೂರಸಿ, ಹರಿತವಾದ ಕತ್ತಿ, ಉದ್ಯೋಗ ಪರ್ವ,5,10
ಕೂರುಗಣೆ, ಕೂರು ಹರಿತವಾದ ಕಣೆ, ವಿರಾಟ ಪರ್ವ,2,15
ಕೂರುಮೆ, #ERROR!, ಉದ್ಯೋಗ ಪರ್ವ,8,71
ಕೂಲವತಿ, ನದಿ, ಅರಣ್ಯ ಪರ್ವ,10,1
ಕೂಳಿ, ಮೀನು ಹಿಡಿಯುವ ಬುಟ್ಟಿ, ಸಭಾ ಪರ್ವ,12,26
ಕೂಳಿ, ಮೀನುಗಳನ್ನು ಹಿಡಿಯುವ ಬುಟ್ಟಿ, ಆದಿ ಪರ್ವ,20,23
ಕೂಳಿಯ ತೀರಿ, ಗುಣಿಯನ್ನು/ಬುಟ್ಟಿಯನ್ನು ತುಂಬಿ, ಕರ್ಣ ಪರ್ವ,22,29
ಕೂಳುಗೇಡು, ಅನ್ನಧ್ವಂಸ, ವಿರಾಟ ಪರ್ವ,3,62
ಕೂಳ್ಗುದಿ, ಒಳಗೊಳಗೆ ಕುದಿ, ಆದಿ ಪರ್ವ,20,62
ಕೃಚ್ಛ್ರ, ಪ್ರಾಯಶ್ಚಿತ್ತ ವ್ರತಗಳಲ್ಲೊಂದು, ಗದಾ ಪರ್ವ,13,20
ಕೃತ ಪರಿಕರ್ಮ, ಮಾಡಿದ ಕರ್ಮಗಳು, ಗದಾ ಪರ್ವ,11,57
ಕೃತ ಪರಿಶಿಷ್ಟ ಪಾಲ, ಸಜ್ಜನರನ್ನು ಕಾಪಾಡುವವನಾಗಿ, ವಿರಾಟ ಪರ್ವ,1,10
ಕೃತಕ, ಕಪಟ, ಆದಿ ಪರ್ವ,8,0
ಕೃತಕಭೀಮ, ಭೀಮನ ವಿಗ್ರಹ, ಗದಾ ಪರ್ವ,11,68
ಕೃತಕವಾರ್ತಾಭೀತಪುರಜನ, ಸುಳ್ಳುವದಂತಿ ಕೇಳಿ, ಸಭಾ ಪರ್ವ,1,2
ಕೃತಕೃತ್ಯ, ಕೃತಾರ್ಥ, ಆದಿ ಪರ್ವ,13,47
ಕೃತಕೃತ್ಯರು, ಧನ್ಯರು, ಅರಣ್ಯ ಪರ್ವ,3,39
ಕೃತಭಿನ್ನ, ಕೆಲಸದಲ್ಲಿ ವ್ಯತ್ಯಾಸ, ಆದಿ ಪರ್ವ,8,65
ಕೃತಮಾಯರು, ಮಾಯೆಯನ್ನು ತೋರುವವರು, ಗದಾ ಪರ್ವ,5,11
ಕೃತಸಮಯ, ಪ್ರತಿಜ್ಞೆ ಮಾಡಿದವ, ಗದಾ ಪರ್ವ,11,58
ಕೃತಸಮಯ, ಪ್ರತಿಜ್ಞೆ ಮಾಡಿದವರು, ಗದಾ ಪರ್ವ,7,41
ಕೃತಸಮಯ, ಕೆಲಸವಾಗಬೇಕಾದ ಸಮಯ, ಶಲ್ಯ ಪರ್ವ,2,19
ಕೃತಾಂಜಲಿ, ಹಸ್ತವಿನ್ಯಾಸ ಮಾಡಿರುವ, ಗದಾ ಪರ್ವ,6,2
ಕೃತಾಂತ, ?, ಅರಣ್ಯ ಪರ್ವ,7,72
ಕೃತಾಂತ, ವಾಮನ, ಭೀಷ್ಮ ಪರ್ವ,2,16
ಕೃತಾರ್ಥ, ನೆರವೇರಿದ ಆಸೆಯುಳ್ಳವ., ವಿರಾಟ ಪರ್ವ,10,28
ಕೃತಾರ್ಥ, ಧನ್ಯ, ಆದಿ ಪರ್ವ,9,2
ಕೃತಾರ್ಥರು, ಧನ್ಯರು, ಉದ್ಯೋಗ ಪರ್ವ,7,17
ಕೃತಿ, ಕೆಲಸ., ಗದಾ ಪರ್ವ,8,60
ಕೃತ್ತಿವಾಸ, ಜಿಂಕೆಯ ಚರ್ಮವನ್ನು ಉಟ್ಟವ , ಗದಾ ಪರ್ವ,6,34
ಕೃತ್ರಿಮ, ಕಪಟ, ಆದಿ ಪರ್ವ,8,15
ಕೃಪಣತನ, ದೀನಾವಸ್ಥೆ , ವಿರಾಟ ಪರ್ವ,1,5, , , C9BCDEB6D7B6D8B6DCB6, , , , , , , , , , 
ಕೃಪಣತೆ, ಲೋಭ , ಗದಾ ಪರ್ವ,1,23, , ,  ನೀಚತನ, C9BCDEB6D7B6D8BD, , , , , , , , , 
ಕೃಪಣತೆ, ನೀಚತನ, ಗದಾ ಪರ್ವ,11,34
ಕೃಪಣರ, ದೀನ ದುರ್ಬಲರನ್ನು, ಭೀಷ್ಮ ಪರ್ವ,1,3
ಕೃಪಾಣ, ದೊಡ್ಡ ಕತ್ತಿ, ಭೀಷ್ಮ ಪರ್ವ,4,60
ಕೃಪಾಣಪಾಣಿ, ಕೈಯಲ್ಲಿ ಕತ್ತಿ ಹಿಡಿದವನು, ವಿರಾಟ ಪರ್ವ,2,39
ಕೃಪಾಣು, ಚಿಕ್ಕಖಡ್ಗ, ದ್ರೋಣ ಪರ್ವ,4,15
ಕೃಪಾಳು, ಕರುಣೆ, ಉದ್ಯೋಗ ಪರ್ವ,7,16
ಕೃಪೆಮಾಡು, ಅನುಗ್ರಹಿಸು, ಭೀಷ್ಮ ಪರ್ವ,3,75
ಕೃಷ್ಣಮುನಿ, ವ್ಯಾಸಮುನಿ, ಆದಿ ಪರ್ವ,16,38
ಕೃಷ್ಣಾಗರು, ಕಪ್ಪಾಗಿರುವ ಅಗರು, ಸಭಾ ಪರ್ವ,5,47
ಕೆಂಗರಿಗೋಲ, ಕೆಂಪಾದ ಗರಿಗಳನ್ನು ಹೊಂದಿರುವ ಬಾಣ, ದ್ರೋಣ ಪರ್ವ,1,1
ಕೆಂಗರಿಗೋಲ, ಕೆಂಪಾದ ಗರಿಗಳಿಂದ ಕೂಡಿದ ಬಾಣ, ಭೀಷ್ಮ ಪರ್ವ,10,11
ಕೆಂಗರಿಯ, ಕೆಂಪಾದ ರೆಕ್ಕೆಗಳುಳ್ಳ, ಭೀಷ್ಮ ಪರ್ವ,6,25
ಕೆಂಗೋಲ, ಕಿಡಿ ಉದುರಿಸುತ್ತಿರುವ ಬಾಣ, ಭೀಷ್ಮ ಪರ್ವ,5,18
ಕೆಂಗೋಲು, ಕೆಂಪುಗರಿಯ ಬಾಣ, ಭೀಷ್ಮ ಪರ್ವ,6,14
ಕೆಂಗೋಲು, ಕಿಡಿ ಕಾರುವ ಬಾಣ, ಭೀಷ್ಮ ಪರ್ವ,4,86
ಕೆಂದಳ, ಕೆಂಪಾದ ಅಂಗೈ , ವಿರಾಟ ಪರ್ವ,3,55
ಕೆಂದಳಿರು, ಕೆಂಪಾದ ಚಿಗುರು, ಉದ್ಯೋಗ ಪರ್ವ,7,20
ಕೆಂಧೂಳಿ, (ಸೈನ್ಯದ ಚಲನೆಯಿಂದ ಎದ್ದ) ಕೆಂಪಾದ ಧೂಳು, ಭೀಷ್ಮ ಪರ್ವ,8,12
ಕೆಂಪಿನಾಲಿಗಳು, ಕೆಂಪಾದ ಕಣ್ಣುಗುಡ್ಡೆಗಳು, ಭೀಷ್ಮ ಪರ್ವ,3,10
ಕೆಂಪೆಸೆಯಿತು, ಸೂರ್ಯೋದಯವಾಯಿತು, ಭೀಷ್ಮ ಪರ್ವ,7,1
ಕೆಚ್ಚುವನು, ಕಿಡಿಗಳನು, ಭೀಷ್ಮ ಪರ್ವ,4,8
ಕೆಟ್ಟೋಡು, ದಿಕ್ಕೆಟ್ಟು ಓಡು, ಭೀಷ್ಮ ಪರ್ವ,4,68
ಕೆಡಹಿ, ಬೀಳಿಸಿ (ಸಾಯಿಸಿ) ದಂಡೆ, ಉದ್ಯೋಗ ಪರ್ವ,6,30
ಕೆಡಹು, ನೆಲಕ್ಕೆ ಉರುಳಿಸು, ಭೀಷ್ಮ ಪರ್ವ,8,46
ಕೆಡಿಸಿದಳು, ಹಾಳು ಮಾಡಿದಳು, ಗದಾ ಪರ್ವ,12,19
ಕೆಡಿಸು, ಹಾಳಾಗಿಸು, ಆದಿ ಪರ್ವ,9,21
ಕೆಡು, ಹಾಳಾಗು, ಆದಿ ಪರ್ವ,8,74
ಕೆಡೆದುದು, ಬಿದ್ದಿತು, ದ್ರೋಣ ಪರ್ವ,3,74
ಕೆಡೆನುಡಿ, ಹೀಗಳೆ, ಗದಾ ಪರ್ವ,2,16
ಕೆಡೆನುಡಿದು, ಬೈದು, ದ್ರೋಣ ಪರ್ವ,8,26
ಕೆಡೆಯೊಡೆದು, ಕೆಡೆಯುವಂತೆ ಒದೆದು , ಗದಾ ಪರ್ವ,13,19
ಕೆಣಕು, ಸಿಟ್ಟಿಗೆಬ್ಬಿಸು, ಆದಿ ಪರ್ವ,6,4
ಕೆಣಕು, ಕಲಕುವುದು, ಗದಾ ಪರ್ವ,4,47
ಕೆತ್ತ, ನಡುಗುವ, ದ್ರೋಣ ಪರ್ವ,15,5
ಕೆತ್ತ, ನಡುಗುವ , ಗದಾ ಪರ್ವ,7,36, , ,  ಕಡಿ (ಈ ಯಾವ ಅರ್ಥಗಳೂ ಇಲ್ಲಿಗೆ ಸರಿಹೊಂದುವುದಿಲ್ಲ 'ಮುಚ್ಚಿದ', C9BDD8D8B6, , , , , , , , , 
ಕೆತ್ತ ಕದ, ಮುಚ್ಚಿದ ಕದ, ಅರಣ್ಯ ಪರ್ವ,12,7
ಕೆತ್ತನು, ಮುಚ್ಚಿದನು, ಭೀಷ್ಮ ಪರ್ವ,9,47
ಕೆತ್ತವು, ಮುಚ್ಚಿಕೊಂಡವು, ಭೀಷ್ಮ ಪರ್ವ,6,33
ಕೆತ್ತವು, ಆವರಿಸಿದುವು ತುಂಬಿದವು, ಗದಾ ಪರ್ವ,4,16
ಕೆತ್ತುಕೊಂಡಿರು, ಅವಿತುಕೊಂಡಿರು, ಕರ್ಣ ಪರ್ವ,1,21
ಕೆತ್ತುಕೊಂಡಿರು, ಕೋಪಿಸಿಕೊಂಡಿರು., ಗದಾ ಪರ್ವ,8,10
ಕೆತ್ತುಕೊಂಡಿರೆ, ದುಗುಡದಿಂದ ಕೂಡಿರಲು, ದ್ರೋಣ ಪರ್ವ,1,15
